version,archivo_origen,formato_origen,fila_origen,bloque,tipo_medida,variable_1,variable_2,valor,n_observaciones,decision_metodologica,decision,criterio,medida
10,reporte_redundancias_correlaciones_v10.csv,detallado,14,Bienestar social - cheques escolares,correlacion_pearson,Bienestar social | Distribución de concesiones de Cheques escolares según cobertura. Distritos. Curso 202425 | Cobertura,"Bienestar social | Distribución de solicitudes de Cheques escolares, concesiones y renta familiar media. Distritos. Curso 202425 | Porcentaje de concedidos","0,825",19,"Cobertura y porcentaje concedido sobre solicitudes miden aspectos relacionados pero no identicos, por eso se mantienen separadas.",,,
10,reporte_redundancias_correlaciones_v10.csv,detallado,15,Pobreza,correlacion_pearson,Pobreza 2025 movil | No [%],Pobreza 2025 lavadora | No [%],"0,535",19,Se conservan ambas carencias seleccionadas por su interpretacion material directa.,,,
10,reporte_redundancias_correlaciones_v10.csv,detallado,16,Educacion - titulacion,correlacion_pearson,Padron 2025 titulacion 18+ | Bachiller FP2 o superior [%],"Educacion superior [% distrito, mayores 15, censo 2022]","0,995",19,Se conserva Padron 2025 en porcentajes y se eliminan indicadores de censo 2022 por solapamiento temporal y conceptual.,,,
10,reporte_redundancias_correlaciones_v10.csv,detallado,17,Educacion - PAU,correlacion_pearson,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado matriculado,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado presentado,"1,000",18,No se conserva el recuento absoluto de presentados; se transforma en porcentaje sobre alumnado matriculado.,,,
10,reporte_redundancias_correlaciones_v10.csv,detallado,18,Educacion - PAU,correlacion_pearson,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Media expediente de Bachillerato,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Media PAU,"-0,161",18,Se conserva la media PAU y la diferencia expediente-PAU como medida complementaria de brecha entre evaluacion interna y externa.,,,
10,reporte_redundancias_correlaciones_v10.csv,detallado,19,Educacion - PAU,correlacion_pearson,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado presentado,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado apto,"0,998",18,El porcentaje de aptos resume el resultado academico evitando conservar recuentos absolutos.,,,
10,reporte_redundancias_correlaciones_v10.csv,detallado,45,Economia,correlacion_pearson,INE - Renta media por persona [EUR distrito],INE - Renta media por hogar [EUR distrito],"0,973",19,Rentas por persona y por hogar presentan solapamiento; se conserva renta por persona como indicador principal.,,,
10,reporte_redundancias_correlaciones_v10.csv,detallado,46,Economia,correlacion_pearson,INE - Renta media por persona [EUR distrito],INE - Media renta por unidad de consumo [EUR distrito],"0,996",19,Las distintas medidas medias de renta son muy próximas; se conserva renta por persona y mediana por unidad de consumo.,,,
10,reporte_redundancias_correlaciones_v10.csv,detallado,47,Economia,correlacion_pearson,INE 2023 desigualdad | Índice de Gini [distrito],INE 2023 desigualdad | Distribución de la renta P80/P20 [distrito],"0,881",19,Gini y P80/P20 miden desigualdad; se conserva Gini como indicador sintetico.,,,
10,reporte_redundancias_correlaciones_v10.csv,detallado,48,Economia,correlacion_pearson,IBI - media Num. Recibos totales,IBI - media Importe Recibos totales,"0,698",19,IBI se elimina del bloque final por su caracter fiscal-administrativo y su solapamiento con valor catastral/renta.,,,
10,reporte_redundancias_correlaciones_v10.csv,detallado,49,Economia,correlacion_pearson,IAE - media Numero recibos totales,IAE - media Importe recibos totales,"0,857",19,IAE se elimina del bloque final porque la actividad economica queda resumida por empresas y actividades por habitante.,,,
10,reporte_redundancias_correlaciones_v10.csv,detallado,50,Economia,correlacion_pearson,IVTM - media Recibos Totales,"IVTM - media Importe Rec, Totales","0,887",19,IVTM se elimina del bloque final porque duplica informacion fiscal ligada al parque de vehiculos ya tratado en movilidad.,,,
